PerNo,yyyy_x,PerStatus_x,sex_x,工作分類_x,職等_x,廠區代碼_x,管理層級_x,工作資歷1_x,工作資歷2_x,工作資歷3_x,工作資歷4_x,工作資歷5_x,專案時數_x,專案總數_x,當前專案角色_x,特殊專案佔比_x,工作地點_x,訓練時數A_x,訓練時數B_x,訓練時數C_x,生產總額_x,榮譽數_x,是否升遷_x,升遷速度_x,近三月請假數A_x,近一年請假數A_x,近三月請假數B_x,近一年請假數B_x,出差數A_x,出差數B_x,出差集中度_x,年度績效等級A_x,年度績效等級B_x,年度績效等級C_x,年齡層級_x,婚姻狀況_x,年資層級A_x,年資層級B_x,年資層級C_x,任職前工作平均年數_x,眷屬量_x,通勤成本_x,歸屬部門_x,yyyy_y,PerStatus_y,sex_y,工作分類_y,職等_y,廠區代碼_y,管理層級_y,工作資歷1_y,工作資歷2_y,工作資歷3_y,工作資歷4_y,工作資歷5_y,專案時數_y,專案總數_y,當前專案角色_y,特殊專案佔比_y,工作地點_y,訓練時數A_y,訓練時數B_y,訓練時數C_y,生產總額_y,榮譽數_y,是否升遷_y,升遷速度_y,近三月請假數A_y,近一年請假數A_y,近三月請假數B_y,近一年請假數B_y,出差數A_y,出差數B_y,出差集中度_y,年度績效等級A_y,年度績效等級B_y,年度績效等級C_y,年齡層級_y,婚姻狀況_y,年資層級A_y,年資層級B_y,年資層級C_y,任職前工作平均年數_y,眷屬量_y,通勤成本_y,歸屬部門_y,yyyy,PerStatus,sex,工作分類,職等,廠區代碼,管理層級,工作資歷1,工作資歷2,工作資歷3,工作資歷4,工作資歷5,專案時數,專案總數,當前專案角色,特殊專案佔比,工作地點,訓練時數A,訓練時數B,訓練時數C,生產總額,榮譽數,是否升遷,升遷速度,近三月請假數A,近一年請假數A,近三月請假數B,近一年請假數B,出差數A,出差數B,出差集中度,年度績效等級A,年度績效等級B,年度績效等級C,年齡層級,婚姻狀況,年資層級A,年資層級B,年資層級C,任職前工作平均年數,眷屬量,通勤成本,歸屬部門
2539,2014,0,1.0,1.0,3.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,1.0,0.0,6.0,0.0,2.0,1.0,19.0,0.0,0.0,2.0,4.0,6.0,0.0,0.0,4.0,1.0,6.0,7.0,1.0,5.0,11.0,1.0,5.0,4.0,4.0,1.0,1.0,8.0,14195.0,2015,0,1.0,1.0,3.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,1.0,0.0,6.0,0.0,1.0,1.0,18.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,5.0,1.0,9.0,7.0,10.0,4.0,12.0,1.0,6.0,4.0,4.0,1.0,1.0,8.0,14195.0,2016,0,1.0,1.0,3.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,1.0,1.0,6.0,0.0,0.0,1.0,14.0,0.0,0.0,2.0,3.0,6.0,0.0,0.0,4.0,0.0,7.0,7.0,1.0,5.0,12.0,1.0,6.0,4.0,4.0,1.0,1.0,8.0,14195.0
2541,2014,0,1.0,1.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,1.0,2.0,6.0,1.0,0.0,1.0,8.0,0.0,0.0,2.0,3.0,6.0,0.0,0.0,1.0,0.0,1.0,7.0,9.0,5.0,9.0,1.0,4.0,4.0,1.0,1.0,2.0,8.0,8074.0,2015,0,1.0,1.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,2.0,1.0,6.0,0.0,0.0,1.0,7.0,0.0,0.0,2.0,3.0,6.0,0.0,0.0,1.0,0.0,1.0,7.0,9.0,4.0,10.0,1.0,4.0,4.0,1.0,1.0,2.0,8.0,8074.0,2016,0,1.0,1.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,2.0,0.0,6.0,1.0,0.0,2.0,5.0,0.0,0.0,2.0,5.0,7.0,0.0,0.0,1.0,0.0,1.0,7.0,1.0,4.0,10.0,1.0,5.0,4.0,1.0,1.0,1.0,8.0,8074.0
2542,2014,0,1.0,1.0,7.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,5.0,1.0,6.0,1.0,0.0,3.0,9.0,0.0,0.0,2.0,6.0,10.0,0.0,0.0,1.0,0.0,4.0,5.0,8.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,0.0,8.0,17041.0,2015,0,1.0,1.0,7.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,5.0,1.0,6.0,0.0,0.0,1.0,5.0,0.0,0.0,2.0,3.0,9.0,0.0,0.0,1.0,0.0,4.0,5.0,8.0,2.0,6.0,2.0,2.0,2.0,2.0,1.0,0.0,8.0,14195.0,2016,0,1.0,1.0,7.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,5.0,0.0,6.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,6.0,9.0,0.0,0.0,2.0,0.0,2.0,5.0,4.0,5.0,7.0,2.0,3.0,2.0,2.0,1.0,0.0,8.0,14195.0
2543,2014,0,1.0,1.0,4.0,18.0,1.0,1.0,0.0,0.0,0.0,1.0,22.0,2.0,5.0,0.0,6.0,1.0,0.0,4.0,4.0,0.0,0.0,3.0,4.0,9.0,0.0,0.0,1.0,0.0,0.0,10.0,6.0,5.0,6.0,1.0,3.0,3.0,1.0,1.0,2.0,8.0,18111.0,2015,0,1.0,1.0,3.0,18.0,1.0,0.0,0.0,0.0,0.0,1.0,22.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,5.0,10.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,5.0,6.0,1.0,4.0,3.0,1.0,1.0,2.0,8.0,18111.0,2016,0,1.0,1.0,3.0,18.0,4.0,0.0,0.0,0.0,0.0,1.0,22.0,2.0,5.0,1.0,6.0,0.0,0.0,3.0,6.0,0.0,0.0,1.0,5.0,8.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,5.0,7.0,1.0,4.0,4.0,1.0,1.0,2.0,8.0,18111.0
2544,2014,0,1.0,2.0,2.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,23.0,6.0,5.0,1.0,5.0,0.0,1.0,4.0,4.0,0.0,0.0,4.0,2.0,6.0,0.0,0.0,3.0,2.0,1.0,3.0,1.0,5.0,11.0,1.0,5.0,5.0,0.0,0.0,1.0,8.0,16120.0,2015,0,1.0,2.0,2.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,23.0,6.0,5.0,1.0,5.0,0.0,0.0,2.0,3.0,0.0,0.0,4.0,2.0,6.0,0.0,0.0,4.0,1.0,1.0,3.0,1.0,4.0,11.0,1.0,6.0,6.0,0.0,0.0,1.0,8.0,16120.0,2016,0,1.0,2.0,2.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,22.0,6.0,5.0,1.0,5.0,1.0,0.0,4.0,3.0,0.0,0.0,5.0,2.0,7.0,0.0,0.0,3.0,2.0,1.0,3.0,1.0,4.0,12.0,1.0,6.0,6.0,0.0,0.0,1.0,8.0,16120.0
2547,2014,0,1.0,1.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,5.0,0.0,6.0,0.0,0.0,5.0,6.0,0.0,0.0,6.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,9.0,1.0,5.0,4.0,1.0,1.0,2.0,9.0,20208.0,2015,0,1.0,1.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,5.0,0.0,6.0,0.0,0.0,3.0,6.0,0.0,0.0,6.0,3.0,8.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,10.0,1.0,5.0,5.0,1.0,1.0,2.0,9.0,20054.0,2016,0,1.0,1.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,5.0,0.0,6.0,0.0,0.0,1.0,6.0,0.0,0.0,6.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,2.0,10.0,1.0,5.0,5.0,1.0,1.0,2.0,9.0,20054.0
2550,2014,0,1.0,1.0,4.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,2.0,6.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,3.0,9.0,1.0,4.0,1.0,6.0,0.0,0.0,8.0,13049.0,2015,0,1.0,1.0,4.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,0.0,6.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,3.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,2.0,9.0,1.0,4.0,1.0,6.0,0.0,0.0,8.0,13049.0,2016,0,1.0,1.0,4.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,5.0,1.0,6.0,0.0,0.0,1.0,6.0,0.0,0.0,2.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,3.0,10.0,1.0,5.0,1.0,6.0,0.0,0.0,8.0,13049.0
2552,2014,0,1.0,1.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0,1.0,2.0,6.0,0.0,2.0,1.0,16.0,1.0,0.0,2.0,5.0,7.0,0.0,0.0,1.0,1.0,0.0,7.0,1.0,5.0,8.0,1.0,4.0,4.0,0.0,0.0,2.0,8.0,8157.0,2015,0,1.0,1.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,2.0,1.0,1.0,6.0,0.0,0.0,1.0,17.0,1.0,0.0,2.0,3.0,6.0,0.0,0.0,1.0,1.0,0.0,7.0,8.0,5.0,9.0,1.0,4.0,4.0,0.0,0.0,2.0,8.0,8157.0,2016,0,1.0,1.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,2.0,1.0,1.0,6.0,0.0,0.0,1.0,12.0,0.0,0.0,2.0,4.0,6.0,0.0,0.0,1.0,1.0,0.0,7.0,8.0,5.0,9.0,1.0,4.0,4.0,0.0,0.0,2.0,8.0,8157.0
2553,2014,0,1.0,1.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,0.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,10.0,3.0,2.0,12.0,1.0,7.0,6.0,2.0,1.0,1.0,14.0,2058.0,2015,0,1.0,1.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,5.0,0.0,6.0,0.0,0.0,4.0,1.0,0.0,0.0,6.0,2.0,9.0,0.0,0.0,1.0,0.0,0.0,10.0,6.0,2.0,12.0,1.0,7.0,6.0,2.0,1.0,1.0,14.0,2058.0,2016,0,1.0,1.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,5.0,0.0,6.0,3.0,0.0,3.0,1.0,0.0,0.0,6.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,10.0,2.0,2.0,12.0,1.0,7.0,6.0,2.0,1.0,1.0,14.0,2058.0
2558,2014,0,1.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,23.0,5.0,5.0,2.0,6.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,4.0,7.0,0.0,0.0,1.0,0.0,1.0,5.0,6.0,4.0,5.0,1.0,3.0,3.0,0.0,0.0,1.0,8.0,4131.0,2015,0,1.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,22.0,2.0,5.0,3.0,6.0,1.0,0.0,1.0,5.0,0.0,0.0,1.0,6.0,7.0,0.0,0.0,2.0,0.0,1.0,10.0,1.0,5.0,5.0,1.0,3.0,3.0,0.0,0.0,1.0,8.0,4010.0,2016,0,1.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,5.0,1.0,6.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,6.0,8.0,0.0,0.0,2.0,0.0,2.0,10.0,9.0,2.0,6.0,1.0,3.0,3.0,0.0,0.0,1.0,8.0,4010.0
2567,2014,0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,1.0,0.0,0.0,22.0,2.0,5.0,7.0,6.0,0.0,0.0,1.0,30.0,1.0,0.0,3.0,7.0,6.0,0.0,0.0,4.0,0.0,10.0,10.0,1.0,5.0,6.0,2.0,3.0,3.0,0.0,1.0,0.0,8.0,14077.0,2015,0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,1.0,0.0,0.0,23.0,2.0,5.0,12.0,6.0,1.0,0.0,1.0,26.0,0.0,0.0,3.0,1.0,6.0,0.0,0.0,4.0,0.0,3.0,1.0,1.0,5.0,6.0,2.0,3.0,3.0,0.0,1.0,0.0,8.0,14077.0,2016,0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,1.0,0.0,0.0,22.0,1.0,5.0,15.0,6.0,0.0,0.0,1.0,21.0,0.0,0.0,4.0,6.0,6.0,0.0,0.0,3.0,1.0,4.0,1.0,1.0,2.0,7.0,2.0,4.0,4.0,0.0,1.0,0.0,8.0,14077.0
2574,2014,0,1.0,1.0,3.0,19.0,4.0,0.0,1.0,0.0,0.0,1.0,23.0,3.0,5.0,7.0,6.0,1.0,0.0,4.0,24.0,3.0,0.0,2.0,5.0,7.0,0.0,0.0,1.0,0.0,1.0,6.0,1.0,5.0,7.0,1.0,3.0,3.0,0.0,1.0,1.0,8.0,19166.0,2015,0,1.0,1.0,3.0,19.0,1.0,0.0,1.0,0.0,0.0,1.0,23.0,3.0,5.0,0.0,6.0,0.0,0.0,1.0,19.0,3.0,0.0,2.0,4.0,7.0,0.0,0.0,1.0,0.0,1.0,6.0,1.0,2.0,7.0,1.0,3.0,3.0,0.0,1.0,1.0,8.0,19166.0,2016,0,1.0,1.0,3.0,19.0,4.0,0.0,1.0,0.0,0.0,1.0,23.0,5.0,5.0,1.0,6.0,1.0,0.0,3.0,17.0,4.0,0.0,2.0,4.0,6.0,0.0,0.0,1.0,0.0,1.0,6.0,8.0,5.0,8.0,1.0,3.0,3.0,0.0,1.0,1.0,8.0,19166.0
2576,2014,0,1.0,1.0,5.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,12.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,5.0,12.0,1.0,7.0,7.0,0.0,1.0,1.0,8.0,13147.0,2015,0,1.0,1.0,1.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,15.0,6.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,2.0,12.0,1.0,8.0,8.0,0.0,1.0,1.0,8.0,13147.0,2016,0,1.0,1.0,1.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,5.0,15.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,2.0,13.0,1.0,8.0,8.0,0.0,1.0,1.0,8.0,13147.0
2578,2014,0,1.0,1.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,23.0,3.0,5.0,1.0,6.0,0.0,0.0,1.0,17.0,1.0,0.0,2.0,3.0,6.0,0.0,0.0,1.0,0.0,1.0,10.0,2.0,2.0,5.0,2.0,2.0,2.0,0.0,0.0,1.0,8.0,2058.0,2015,0,1.0,1.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,23.0,3.0,5.0,1.0,6.0,0.0,0.0,1.0,10.0,1.0,0.0,2.0,6.0,5.0,0.0,0.0,2.0,0.0,2.0,10.0,5.0,2.0,5.0,2.0,3.0,3.0,0.0,0.0,1.0,8.0,2058.0,2016,0,1.0,1.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,23.0,3.0,5.0,0.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,6.0,6.0,0.0,0.0,1.0,0.0,1.0,10.0,7.0,2.0,6.0,2.0,3.0,3.0,0.0,0.0,1.0,8.0,2058.0
2580,2014,0,1.0,1.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,6.0,2.0,1.0,1.0,0.0,1.0,0.0,8.0,20069.0,2015,0,1.0,1.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,6.0,2.0,2.0,2.0,0.0,1.0,0.0,8.0,20069.0,2016,0,1.0,1.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,2.0,7.0,2.0,2.0,2.0,0.0,1.0,0.0,8.0,20069.0
2582,2014,0,0.0,1.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,0.0,6.0,0.0,0.0,2.0,3.0,0.0,0.0,4.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,5.0,10.0,2.0,6.0,2.0,3.0,3.0,1.0,1.0,0.0,8.0,2101.0,2015,0,0.0,1.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,3.0,5.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,2.0,6.0,2.0,3.0,3.0,1.0,1.0,0.0,8.0,2197.0,2016,0,0.0,1.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,5.0,4.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,4.0,6.0,7.0,0.0,0.0,1.0,0.0,0.0,10.0,8.0,2.0,7.0,2.0,4.0,3.0,1.0,1.0,0.0,8.0,2197.0
2583,2014,0,0.0,1.0,7.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,5.0,0.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,5.0,3.0,2.0,5.0,2.0,2.0,1.0,2.0,1.0,1.0,8.0,20130.0,2015,0,0.0,1.0,7.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,5.0,0.0,6.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0,4.0,11.0,0.0,0.0,1.0,0.0,0.0,5.0,6.0,3.0,5.0,2.0,2.0,1.0,2.0,1.0,1.0,8.0,20130.0,2016,0,0.0,1.0,7.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,5.0,2.0,3.0,2.0,2.0,1.0,1.0,8.0,20130.0
2586,2014,0,0.0,2.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,3.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,4.0,6.0,1.0,4.0,3.0,1.0,1.0,3.0,8.0,8117.0,2015,0,0.0,2.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,3.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0,10.0,1.0,5.0,6.0,1.0,4.0,3.0,1.0,1.0,3.0,8.0,8117.0,2016,0,0.0,2.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,3.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0,10.0,1.0,4.0,6.0,1.0,4.0,4.0,1.0,1.0,3.0,8.0,8117.0
2591,2014,0,1.0,1.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,2.0,1.0,1.0,6.0,0.0,1.0,1.0,5.0,0.0,0.0,2.0,4.0,6.0,0.0,0.0,3.0,1.0,4.0,7.0,1.0,4.0,10.0,1.0,6.0,6.0,0.0,0.0,1.0,8.0,8181.0,2015,0,1.0,1.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,4.0,5.0,1.0,6.0,0.0,1.0,1.0,4.0,0.0,0.0,2.0,4.0,7.0,0.0,0.0,3.0,1.0,3.0,7.0,10.0,4.0,10.0,1.0,6.0,6.0,0.0,0.0,1.0,8.0,8181.0,2016,0,1.0,1.0,3.0,8.0,6.0,0.0,0.0,0.0,0.0,1.0,23.0,4.0,1.0,1.0,6.0,0.0,0.0,1.0,5.0,0.0,0.0,2.0,3.0,6.0,0.0,0.0,2.0,1.0,2.0,7.0,1.0,5.0,11.0,1.0,6.0,6.0,0.0,0.0,1.0,8.0,8181.0
2592,2014,0,1.0,1.0,3.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,1.0,0.0,6.0,3.0,0.0,1.0,17.0,1.0,0.0,2.0,3.0,5.0,0.0,0.0,1.0,0.0,1.0,2.0,9.0,5.0,11.0,2.0,6.0,5.0,1.0,1.0,1.0,8.0,14040.0,2015,0,1.0,1.0,3.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,1.0,0.0,6.0,0.0,0.0,1.0,14.0,1.0,0.0,2.0,1.0,7.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,5.0,11.0,2.0,6.0,6.0,1.0,1.0,1.0,8.0,14040.0,2016,0,1.0,1.0,3.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,1.0,1.0,6.0,2.0,0.0,2.0,12.0,1.0,0.0,2.0,3.0,4.0,0.0,0.0,1.0,0.0,1.0,2.0,10.0,5.0,12.0,2.0,6.0,6.0,1.0,1.0,1.0,8.0,14040.0
2594,2014,0,1.0,1.0,3.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,1.0,0.0,6.0,2.0,0.0,4.0,5.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,3.0,0.0,10.0,2.0,8.0,5.0,9.0,1.0,4.0,4.0,1.0,1.0,0.0,7.0,14077.0,2015,0,1.0,1.0,3.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,1.0,2.0,6.0,0.0,0.0,1.0,6.0,0.0,0.0,2.0,6.0,6.0,0.0,0.0,3.0,0.0,3.0,2.0,4.0,5.0,10.0,1.0,4.0,4.0,1.0,1.0,2.0,7.0,14077.0,2016,0,1.0,1.0,3.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,1.0,3.0,6.0,0.0,0.0,1.0,6.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,3.0,0.0,4.0,6.0,8.0,5.0,10.0,1.0,4.0,4.0,1.0,1.0,2.0,7.0,14077.0
2596,2014,0,1.0,1.0,7.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,7.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,5.0,6.0,0.0,0.0,1.0,1.0,1.0,9.0,1.0,2.0,8.0,1.0,5.0,5.0,1.0,1.0,3.0,8.0,8181.0,2015,0,1.0,1.0,7.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,5.0,1.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,9.0,8.0,2.0,9.0,1.0,5.0,5.0,1.0,1.0,3.0,8.0,8181.0,2016,0,1.0,1.0,7.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,4.0,6.0,0.0,0.0,1.0,0.0,1.0,9.0,9.0,2.0,9.0,1.0,5.0,5.0,1.0,1.0,3.0,8.0,8074.0
2601,2014,0,1.0,1.0,3.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,2.0,1.0,0.0,6.0,1.0,0.0,4.0,17.0,2.0,0.0,1.0,5.0,6.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,5.0,7.0,1.0,2.0,2.0,0.0,0.0,1.0,9.0,13168.0,2015,0,1.0,1.0,3.0,13.0,4.0,0.0,0.0,0.0,0.0,1.0,23.0,2.0,5.0,0.0,6.0,2.0,1.0,1.0,14.0,3.0,0.0,1.0,3.0,6.0,0.0,0.0,1.0,7.0,2.0,6.0,1.0,4.0,8.0,1.0,3.0,3.0,0.0,0.0,1.0,9.0,13084.0,2016,0,1.0,1.0,3.0,13.0,6.0,0.0,0.0,0.0,0.0,1.0,23.0,2.0,5.0,1.0,6.0,0.0,1.0,12.0,9.0,2.0,0.0,2.0,5.0,6.0,0.0,0.0,2.0,1.0,2.0,6.0,1.0,5.0,8.0,1.0,3.0,3.0,0.0,0.0,1.0,9.0,13084.0
2603,2014,0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,3.0,5.0,1.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,7.0,3.0,2.0,11.0,1.0,6.0,6.0,0.0,0.0,1.0,8.0,2180.0,2015,0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,5.0,1.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,11.0,1.0,6.0,6.0,0.0,0.0,1.0,8.0,2180.0,2016,0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,5.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,11.0,1.0,6.0,6.0,0.0,0.0,1.0,8.0,2180.0
2607,2014,0,0.0,1.0,1.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,3.0,6.0,0.0,0.0,2.0,2.0,1.0,0.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,10.0,1.0,5.0,5.0,1.0,2.0,1.0,8.0,19166.0,2015,0,0.0,1.0,1.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,1.0,6.0,0.0,0.0,2.0,2.0,1.0,0.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,10.0,1.0,5.0,5.0,1.0,2.0,1.0,8.0,19166.0,2016,0,0.0,1.0,1.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,5.0,1.0,6.0,0.0,0.0,1.0,2.0,1.0,0.0,5.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,11.0,1.0,5.0,5.0,1.0,2.0,1.0,8.0,19004.0
